longitude,latitude,distance
101.3343,3.2561,15.612588491329864
101.3522,3.2199,11.941315442364587
101.3565,3.134,4.02964828680447
101.3612,3.2289,13.181564637393027
101.4107,3.2333,16.1448188869961
101.4645,3.1699,16.607534763439414
101.3654,3.1024,4.733716212818233
101.4691,3.2467,21.613999408743712
101.4824,3.1518,17.923557511192637
101.3879,3.1339,7.2618567165492625
101.4288,3.283,21.85478767282612
101.4959,3.1427,19.205736357844653
101.3655,3.1521,6.027705751652041
101.424,3.1791,13.040211984970846
101.4423,3.2875,23.09232678906828
101.4509,3.1519,14.537325325925293
101.3251,3.1838,7.539024201952361
101.3253,3.2697,17.090692679670177
101.3294,3.1024,1.589204819924457
101.3295,3.1341,2.0737177645585034
101.3295,3.1476,3.5491037024635057
101.3297,3.2425,14.075833706490949
101.3298,3.2832,18.59942757179635
101.3339,3.1115,1.1076392899749254
101.3339,3.1115,1.1076392899749254
101.3341,3.1973,9.096430687225494
101.3342,3.2109,10.601718871372757
101.3342,3.2154,11.099872720833556
101.3342,3.229,12.606474765458273
101.3343,3.2606,16.111904066600804
101.3384,3.1069,1.7993008718300687
101.3385,3.1295,2.1213449807356337
101.3385,3.1521,4.28485179252257
101.3387,3.2244,12.149121213011252
101.3387,3.247,14.645731868014778
101.3388,3.2742,17.657631207803494
101.3429,3.1069,2.2302166230227733
101.3429,3.116,1.9874464556926454
101.343,3.1386,3.2108114260833425
101.3431,3.1657,5.880431481393454
101.3431,3.1838,7.802256341148563
101.3432,3.2199,11.728528769498146
101.3432,3.2244,12.221727146166534
101.3433,3.2651,16.703188914434982
101.3433,3.2787,18.20513887102911
101.3433,3.2877,19.199965554027607
101.3474,3.1024,2.9107677505521123
101.3475,3.1521,4.728003542103317
101.3476,3.1747,6.992836895062618
101.3476,3.1837,7.935071157473315
101.3476,3.1928,8.900772476463843
101.3476,3.2063,10.34967154291332
101.3477,3.2154,11.336473233996069
101.3477,3.2289,12.804385094067918
101.3477,3.2425,14.290150947289314
101.3519,3.1114,3.0302097930797043
101.3519,3.1114,3.0302097930797043
101.3519,3.1159,2.986742050524754
101.3521,3.1747,7.187261001318132
101.3521,3.2063,10.482011725280968
101.3522,3.2335,13.409859469356249
101.3522,3.2425,14.386670201313878
101.3523,3.2561,15.870518656148327
101.3523,3.2651,16.85393461313593
101.3523,3.2696,17.346386326495058
101.3523,3.2832,18.837223895150775
101.3564,3.1114,3.523688143097118
101.3566,3.1882,8.761412779521415
101.3566,3.1973,9.697078659431599
101.3566,3.2063,10.636196234531106
101.3568,3.2696,17.440619394808834
101.3568,3.2786,18.421765738919447
101.3568,3.2832,18.924033569655894
101.361,3.125,4.1204578687880815
101.3611,3.1702,7.2378690486137165
101.3611,3.1928,9.433566653856282
101.3612,3.2154,11.76083001420731
101.3612,3.2244,12.705932361551685
101.3612,3.238,14.148615910329534
101.3613,3.2606,16.576166495297162
101.3654,3.1024,4.733716212818233
101.3654,3.1204,4.512227320259679
101.3655,3.1566,6.371867202985014
101.3656,3.1792,8.348976969469325
101.3656,3.1837,8.774310579921528
101.3656,3.1882,9.20719231958726
101.3657,3.2244,12.872695924305589
101.3657,3.2289,13.342383999946987
101.3657,3.2379,14.288012293803193
101.3657,3.2515,15.729908719601923
