longitude,latitude
101.4242,3.2604
101.4106,3.1972
101.4243,3.283
101.4329,3.1158
101.424,3.17
101.4329,3.1338
101.4105,3.152
101.3969,3.1339
101.4284,3.1429
101.4329,3.1293
101.4104,3.1384
101.4196,3.2107
101.3971,3.2243
101.4239,3.1339
101.3836,3.1837
101.433,3.1881
101.4286,3.2288
101.4375,3.1564
101.424,3.1745
101.4331,3.2107
101.4063,3.274
101.4151,3.2243
101.415,3.1474
101.4645,3.1699
101.4375,3.1745
101.4645,3.188
101.4195,3.1745
101.433,3.1835
101.3836,3.1791
101.3744,3.1204
101.4286,3.2107
101.4331,3.2152
101.46,3.1699
101.4107,3.2514
101.4645,3.1925
101.4063,3.2876
101.4333,3.2785
101.3926,3.2108
101.4646,3.2377
101.4198,3.283
101.4377,3.2649
101.3972,3.2288
101.4151,3.1971
101.4376,3.2016
101.4287,3.2514
101.4107,3.2378
101.4287,3.2649
101.46,3.1744
101.4197,3.2423
101.4329,3.1203
101.4332,3.2513
101.4197,3.2378
101.442,3.179
101.4288,3.2785
101.4422,3.2649
101.4377,3.2784
101.4647,3.2739
101.4284,3.1474
101.4062,3.2378
101.4378,3.2875
101.3971,3.2062
101.3925,3.1565
101.4285,3.1564
101.4689,3.1609
101.3883,3.2786
101.4106,3.2107
101.4377,3.2558
101.433,3.17
101.3925,3.152
101.469,3.1835
101.3883,3.265
101.3883,3.2695
101.433,3.179
101.4284,3.1203
101.3925,3.1791
101.3927,3.2514
101.4061,3.2152
101.4061,3.1881
101.3971,3.2017
101.4016,3.2017
101.4016,3.2107
101.3925,3.161
101.4779,3.1428
101.4015,3.1655
101.4375,3.179
101.406,3.161
101.4016,3.2062
101.3972,3.2559
101.4645,3.2016
101.4644,3.1383
101.4014,3.1249
101.3972,3.2469
101.4059,3.1384
101.469,3.2061
101.4646,3.2061
101.4778,3.1247
101.4377,3.2694
101.406,3.1701
101.4286,3.1971
101.4104,3.1203
101.4736,3.2377
101.4286,3.2333
101.4286,3.2152
101.4059,3.1339
101.3928,3.2831
101.4108,3.283
101.4106,3.2243
101.4645,3.197
101.4645,3.179
101.4017,3.2469
101.4689,3.1473
101.3973,3.274
101.4287,3.2468
101.4646,3.2241
101.4781,3.2196
101.4691,3.2196
101.4692,3.2558
101.4735,3.1925
101.478,3.206
101.4692,3.2693
101.4826,3.2241
101.4691,3.2377
101.4734,3.1428
101.4736,3.2422
101.4782,3.2874
101.4735,3.1699
101.4778,3.1202
101.469,3.1744
101.4825,3.206
101.4332,3.2559
101.4105,3.161
101.4689,3.1518
101.4285,3.161
101.4284,3.1384
101.4825,3.197
101.4243,3.2875
101.397,3.152
101.4285,3.1655
101.4284,3.1158
101.397,3.1746
101.478,3.1699
101.4692,3.2874
101.4779,3.1337
101.4868,3.1201
101.4827,3.2693
101.4196,3.2197
101.4779,3.1382
101.4197,3.2559
101.4017,3.2333
101.4824,3.1337
101.4464,3.1157
101.4467,3.2603
101.4824,3.1518
101.4242,3.2468
101.4196,3.1971
101.4782,3.2557
101.451,3.1971
101.478,3.188
101.4152,3.2514
101.4241,3.2333
101.4869,3.1653
101.4601,3.2151
101.4197,3.2333
101.4554,3.1519
101.4375,3.17
101.4511,3.2016
101.4782,3.2603
101.4962,3.2647
101.4825,3.1925
101.4242,3.2378
101.4374,3.1474
101.4509,3.1428
101.4107,3.2695
101.4782,3.2829
101.4242,3.2649
101.4914,3.1699
101.4421,3.2242
101.4284,3.1293
101.4868,3.1156
101.4468,3.2829
101.415,3.161
101.4287,3.2423
101.3879,3.1249
101.4512,3.2603
101.4825,3.2105
101.4016,3.2153
101.4598,3.1157
101.4419,3.1474
101.4824,3.1608
101.4554,3.1428
101.4555,3.2016
101.4377,3.2468
101.4961,3.2512
101.4827,3.2783
101.4869,3.1563
101.4914,3.1518
101.4464,3.1519
101.3835,3.1385
101.4917,3.2873
101.4869,3.1382
101.4916,3.2467
101.4554,3.1473
101.4601,3.2377
101.4916,3.2196
101.4374,3.1429
101.46,3.197
101.4962,3.2693
101.4737,3.2829
101.4917,3.2783
101.4509,3.1293
101.3836,3.1927
101.4916,3.2241
101.4511,3.2242
101.4423,3.283
101.496,3.1879
101.4736,3.2286
101.3836,3.2017
101.4869,3.1337
101.4778,3.1157
101.451,3.1654
101.4779,3.1608
101.4824,3.1382
101.4467,3.2423
